IdSourat,NomSourat,Location,NbrAyat,NbrMots,NbrLettre
1,الفاتحة,مكيّة,7,29,139
2,البقرة,مدنيّة,286,6144,25613
3,آل عمران,مدنيّة,200,3503,14605
4,النساء,مدنيّة,176,3712,15937
5,المآئدة,مدنيّة,120,2837,11892
6,الأنعام,مكيّة,165,3055,12418
7,الأعراف,مكيّة,206,3344,14071
8,الأنفال,مدنيّة,75,1243,5299
9,التوبة,مدنيّة,129,2506,10873
10,يونس,مكيّة,109,1841,7425
11,هود,مكيّة,123,1947,7633
12,يوسف,مكيّة,111,1795,7125
13,الرعد,مدنيّة,43,854,3450
14,إبراهيم,مكيّة,52,831,3461
15,الحجر,مكيّة,99,658,2797
16,النحل,مكيّة,128,1845,7642
17,الإسراء,مكيّة,111,1559,6480
18,الكهف,مكيّة,110,1583,6425
19,مريم,مكيّة,98,972,3835
20,طـه,مكيّة,135,1354,5288
21,الأنبياء,مكيّة,112,1174,4925
22,الحج,مكيّة,78,1279,5196
23,المؤمنون,مكيّة,118,1051,4354
24,النور,مدنيّة,64,1317,5596
25,الفرقان,مكيّة,77,896,3786
26,الشعراء,مكيّة,227,1322,5517
27,النمل,مكيّة,93,1165,4679
28,القصص,مكيّة,88,1441,5791
29,العنكبوت,مكيّة,69,982,4200
30,الروم,مكيّة,60,818,3388
31,لقمان,مكيّة,34,550,2121
32,السجدة,مكيّة,30,374,1523
33,الأحزاب,مدنيّة,73,1303,5618
34,سبأ,مكيّة,54,884,3510
35,فاطر,مكيّة,45,780,3159
36,يس,مكيّة,83,733,2988
37,الصافات,مكيّة,182,865,3790
38,ص,مكيّة,88,735,2991
39,الزمر,مكيّة,75,1177,4741
40,غافر,مكيّة,85,1228,4984
41,فصلت,مكيّة,54,796,3282
42,الشورى,مكيّة,53,860,3431
43,الزخرف,مكيّة,89,837,3508
44,الدخان,مكيّة,59,346,1439
45,الجاثية,مكيّة,37,488,2014
46,الأحقاف,مكيّة,35,646,2602
47,محمد,مدنيّة,38,542,2360
48,الفتح,مدنيّة,29,560,2456
49,الحجرات,مدنيّة,18,353,1493
50,ق,مكيّة,45,373,1473
51,الذاريات,مكيّة,60,360,1510
52,الطور,مكيّة,49,312,1293
53,النجم,مكيّة,62,359,1405
54,القمر,مكيّة,55,342,1438
55,الرحمن,مدنيّة,78,352,1585
56,الواقعة,مكيّة,96,379,1692
57,الحديد,مدنيّة,29,575,2475
58,المجادلة,مدنيّة,22,475,1991
59,الحشر,مدنيّة,24,447,1913
60,الممتحنة,مدنيّة,13,352,1519
61,الصف,مدنيّة,14,226,936
62,الجمعة,مدنيّة,11,177,749
63,المنافقون,مدنيّة,11,180,780
64,التغابن,مدنيّة,18,242,1066
65,الطلاق,مدنيّة,12,279,1170
66,التحريم,مدنيّة,12,254,1067
67,الملك,مكيّة,30,337,1316
68,القلم,مكيّة,52,301,1258
69,الحاقة,مكيّة,52,261,1107
70,المعارج,مكيّة,44,217,947
71,نوح,مكيّة,28,227,947
72,الجن,مكيّة,28,286,1089
73,المزمل,مكيّة,20,200,840
74,المدثر,مكيّة,56,256,1015
75,القيامة,مكيّة,40,164,664
76,الإنسان,مدنيّة,31,243,1065
77,المرسلات,مكيّة,50,181,815
78,النبأ,مكيّة,40,174,766
79,النازعات,مكيّة,46,179,762
80,عبس,مكيّة,42,133,538
81,التكوير,مكيّة,29,104,425
82,الإنفطار,مكيّة,19,81,326
83,المطففين,مكيّة,36,169,740
84,الإنشقاق,مكيّة,25,108,436
85,البروج,مكيّة,22,109,459
86,الطارق,مكيّة,17,61,249
87,الأعلى,مكيّة,19,72,293
88,الغاشية,مكيّة,26,92,378
89,الفجر,مكيّة,30,139,573
90,البلد,مكيّة,20,82,335
91,الشمس,مكيّة,15,54,249
92,الليل,مكيّة,21,71,312
93,الضحى,مكيّة,11,40,164
94,الشرح,مكيّة,8,27,102
95,التين,مكيّة,8,34,156
96,العلق,مكيّة,19,72,281
97,القدر,مكيّة,5,30,112
98,البيِّنة,مدنيّة,8,94,394
99,الزلزلة,مدنيّة,8,36,156
100,العاديات,مكيّة,11,40,164
101,القارعة,مكيّة,11,36,158
102,التكاثر,مكيّة,8,28,122
103,العصر,مكيّة,3,14,70
104,الهمزة,مكيّة,9,33,133
105,الفيل,مكيّة,5,23,96
106,قريش,مكيّة,4,17,73
107,الماعون,مكيّة,7,25,112
108,الكوثر,مكيّة,3,10,42
109,الكافرون,مكيّة,6,27,95
110,النصر,مدنيّة,3,19,79
111,المسد,مكيّة,5,29,81
112,الإخلاص,مكيّة,4,15,47
113,الفلق,مكيّة,5,23,71
114,الناس,مكيّة,6,20,80
