ID_Word,ID_Aya,idSourat,NumAya,idRacine,ArabicWord,englishWord
1,1:1,1,1,1493,بِسْمِ,In (the) name
2,1:1,1,1,25,اللَّهِ,"(of) Allah,"
3,1:1,1,1,1248,الرَّحْمَنِ,"the Most Gracious,"
4,1:1,1,1,1248,الرَّحِيمِ,the Most Merciful.
5,1:2,1,2,581,الْحَمْدُ,All praises and thanks
6,1:2,1,2,25,لِلَّهِ,"(be) to Allah,"
7,1:2,1,2,1219,رَبِّ,the Lord
8,1:2,1,2,126,الْعَالَمِينَ,of the universe
9,1:3,1,3,1248,الرَّحْمَنِ,"The Most Gracious,"
10,1:3,1,3,1248,الرَّحِيمِ,the Most Merciful.
11,1:4,1,4,968,مَالِكِ,(The) Master
12,1:4,1,4,1750,يَوْمِ,(of the) Day
13,1:4,1,4,371,الدِّينِ,(of the) Judgment.
14,1:5,1,5,96,إِيَّاكَ,You Alone
15,1:5,1,5,101,نَعْبُدُ,"we worship,"
16,1:5,1,5,96,وَإِيَّاكَ,and You Alone
17,1:5,1,5,190,نَسْتَعِينُ,we ask for help.
18,1:6,1,6,507,اهْدِنَا,Guide us
19,1:6,1,6,1355,الصِّرَاطَ,"(to) the path,"
20,1:6,1,6,1206,الْمُسْتَقِيمَ,the straight.
21,1:7,1,7,1355,صِرَاطَ,(The) path
22,1:7,1,7,29,الَّذِينَ,(of) those
23,1:7,1,7,1022,أَنْعَمْتَ,You have bestowed (Your) Favors
24,1:7,1,7,130,عَلَيْهِمْ,"on them,"
25,1:7,1,7,491,غَيْرِ,not (of)
26,1:7,1,7,448,الْمَغْضُوبِ,those who earned (Your) wrath
27,1:7,1,7,130,عَلَيْهِمْ,on themselves
28,1:7,1,7,866,وَلَا,and not
29,1:7,1,7,311,الضَّالِّينَ,(of) those who go astray.
30,2:1,2,1,1493,بِسْمِ,In (the) name
31,2:1,2,1,25,اللَّهِ,"(of) Allah,"
32,2:1,2,1,1248,الرَّحْمَنِ,"the Most Gracious,"
33,2:1,2,1,1248,الرَّحِيمِ,the Most Merciful.
34,2:1,2,1,30,الم,Alif Laam Meem
35,2:2,2,2,1637,ذَلِكَ,That
36,2:2,2,2,777,الْكِتَابُ,(is) the book
37,2:2,2,2,866,لَا,no
38,2:2,2,2,1298,رَيْبَ,doubt
39,2:2,2,2,439,فِيهِ,"in it,"
40,2:2,2,2,507,هُدًى,a Guidance
41,2:2,2,2,1697,لِلْمُتَّقِينَ,for the God-conscious.
42,2:3,2,3,29,الَّذِينَ,Those who
43,2:3,2,3,42,يُؤْمِنُونَ,believe
44,2:3,2,3,489,بِالْغَيْبِ,"in the unseen,"
45,2:3,2,3,1206,وَيُقِيمُونَ,and establish
46,2:3,2,3,1339,الصَّلَوةَ,"the prayer,"
47,2:3,2,3,973,وَمِمَّا,and out of what
48,2:3,2,3,1301,رَزَقْنَاهُمْ,We have provided them
49,2:3,2,3,1043,يُنْفِقُونَ,they spend.
50,2:4,2,4,29,وَالَّذِينَ,And those who
51,2:4,2,4,42,يُؤْمِنُونَ,believe
52,2:4,2,4,251,بِمَا,in what
53,2:4,2,4,1128,أُنْزِلَ,(is) sent down
54,2:4,2,4,36,إِلَيْكَ,to you
55,2:4,2,4,933,وَمَا,and what
56,2:4,2,4,1128,أُنْزِلَ,was sent down
57,2:4,2,4,974,مِنْ,from
58,2:4,2,4,1134,قَبْلِكَ,before you
59,2:4,2,4,21,وَبِالْءَاخِرَةِ,and in the Hereafter
60,2:4,2,4,516,هُمْ,they
61,2:4,2,4,1740,يُوقِنُونَ,firmly believe.
62,2:5,2,5,87,أُولَئِكَ,Those
63,2:5,2,5,130,عَلَى,(are) on
64,2:5,2,5,507,هُدًى,Guidance
65,2:5,2,5,974,مِنْ,from
66,2:5,2,5,1219,رَبِّهِمْ,"their Lord,"
67,2:5,2,5,87,وَأُولَئِكَ,and those -
68,2:5,2,5,516,هُمُ,they
69,2:5,2,5,389,الْمُفْلِحُونَ,(are) the successful ones.
70,2:6,2,6,51,إِنَّ,"Indeed,"
71,2:6,2,6,29,الَّذِينَ,those who
72,2:6,2,6,742,كَفَرُوا,"disbelieve[d],"
73,2:6,2,6,1534,سَوَاءٌ,(it) is same
74,2:6,2,6,130,عَلَيْهِمْ,to them
75,2:6,2,6,1110,ءَأَنْذَرْتَهُمْ,whether you warn them
76,2:6,2,6,37,أَمْ,or
77,2:6,2,6,900,لَمْ,not
78,2:6,2,6,1110,تُنْذِرْهُمْ,"you warn them,"
79,2:6,2,6,866,لَا,not
80,2:6,2,6,42,يُؤْمِنُونَ,they believe.
81,2:7,2,7,844,خَتَمَ,Has set a seal
82,2:7,2,7,25,اللَّهُ,Allah
83,2:7,2,7,130,عَلَى,on
84,2:7,2,7,1152,قُلُوبِهِمْ,their hearts
85,2:7,2,7,130,وَعَلَى,and on
86,2:7,2,7,1487,سَمْعِهِمْ,"their hearing,"
87,2:7,2,7,130,وَعَلَى,and on
88,2:7,2,7,272,أَبْصَارِهِمْ,their vision
89,2:7,2,7,477,غِشَاوَةٌ,(is) a veil.
90,2:7,2,7,865,وَلَهُمْ,And for them
91,2:7,2,7,184,عَذَابٌ,(is) a punishment
92,2:7,2,7,201,عَظِيمٌ,great.
93,2:8,2,8,974,وَمِنَ,And of
94,2:8,2,8,1120,النَّاسِ,the people
95,2:8,2,8,974,مَنْ,(are some) who
96,2:8,2,8,1205,يَقُولُ,"say,"
97,2:8,2,8,42,ءَامَنَّا,"""We believed"
98,2:8,2,8,25,بِاللَّهِ,in Allah
99,2:8,2,8,1750,وَبِالْيَوْمِ,and in the Day
100,2:8,2,8,21,الْءَاخِرِ,"[the] Last,"""
101,2:8,2,8,933,وَمَا,but not
102,2:8,2,8,516,هُمْ,they
103,2:8,2,8,42,بِمُؤْمِنِينَ,(are) believers (at all).
104,2:9,2,9,805,يُخَادِعُونَ,They seek to deceive
105,2:9,2,9,25,اللَّهَ,Allah
106,2:9,2,9,29,وَالَّذِينَ,and those who
107,2:9,2,9,42,ءَامَنُوا,"believe[d],"
108,2:9,2,9,933,وَمَا,and not
109,2:9,2,9,805,يَخْدَعُونَ,they deceive
110,2:9,2,9,27,إِلَّا,except
111,2:9,2,9,1046,أَنْفُسَهُمْ,"themselves,"
112,2:9,2,9,933,وَمَا,and not
113,2:9,2,9,1371,يَشْعُرُونَ,they realize (it).
114,2:10,2,10,439,فِي,In
115,2:10,2,10,1152,قُلُوبِهِمْ,their hearts
116,2:10,2,10,981,مَرَضٌ,"(is) a disease,"
117,2:10,2,10,1795,فَزَادَهُمُ,so has increased them
118,2:10,2,10,25,اللَّهُ,Allah
119,2:10,2,10,981,مَرَضًا,(in) disease;
120,2:10,2,10,865,وَلَهُمْ,and for them
121,2:10,2,10,184,عَذَابٌ,(is) a punishment
122,2:10,2,10,30,أَلِيمٌ,painful
123,2:10,2,10,251,بِمَا,because
124,2:10,2,10,785,كَانُوا,they used to
125,2:10,2,10,781,يَكْذِبُونَ,[they] lie.
126,2:11,2,11,79,وَإِذَا,And when
127,2:11,2,11,1205,قِيلَ,it is said
128,2:11,2,11,865,لَهُمْ,"to them,"
129,2:11,2,11,866,لَا,"""(Do) not"
130,2:11,2,11,419,تُفْسِدُوا,spread corruption
131,2:11,2,11,439,فِي,in
132,2:11,2,11,61,الْأَرْضِ,"the earth,"""
133,2:11,2,11,1205,قَالُوا,"they say,"
134,2:11,2,11,52,إِنَّمَا,"""Only"
135,2:11,2,11,1056,نَحْنُ,we
136,2:11,2,11,1337,مُصْلِحُونَ,"(are) reformers."""
137,2:12,2,12,866,أَلَا,"Beware,"
138,2:12,2,12,51,إِنَّهُمْ,indeed they
139,2:12,2,12,516,هُمُ,themselves
140,2:12,2,12,419,الْمُفْسِدُونَ,"(are) the ones who spread corruption,"
141,2:12,2,12,899,وَلَكِنْ,[and] but
142,2:12,2,12,866,لَا,not
143,2:12,2,12,1371,يَشْعُرُونَ,they realize (it).
144,2:13,2,13,79,وَإِذَا,And when
145,2:13,2,13,1205,قِيلَ,it is said
146,2:13,2,13,865,لَهُمْ,"to them,"
147,2:13,2,13,42,ءَامِنُوا,"""Believe"
148,2:13,2,13,757,كَمَا,as
