idRacine,Racine,E1,E2,E3,E5,E6,NBLettre
1,أبب,أ,ب,ب,,,3
2,أبد,أ,ب,د,,,3
3,أبل,أ,ب,ل,,,3
4,أبق,أ,ب,ق,,,3
5,أبر,أ,ب,ر,,,3
6,أبو,أ,ب,و,,,3
7,أبي,أ,ب,ي,,,3
8,أدد,أ,د,د,,,3
9,أدم,أ,د,م,,,3
10,أدي,أ,د,ي,,,3
11,أفف,أ,ف,ف,,,3
12,أفك,أ,ف,ك,,,3
13,أفل,أ,ف,ل,,,3
14,أفق,أ,ف,ق,,,3
15,أهل,أ,ه,ل,,,3
16,أحد,أ,ح,د,,,3
17,أجج,أ,ج,ج,,,3
18,أجل,أ,ج,ل,,,3
19,أجر,أ,ج,ر,,,3
20,أكل,أ,ك,ل,,,3
21,أخر,أ,خ,ر,,,3
22,أخذ,أ,خ,ذ,,,3
23,أخو,أ,خ,و,,,3
24,ألف,أ,ل,ف,,,3
25,أله,أ,ل,ه,,,3
26,ألل,أ,ل,ل,,,3
27,أللأ,أ,ل,ل,,,4
28,أللت,أ,ل,ل,,,4
29,أللذ,أ,ل,ل,,,4
30,ألم,أ,ل,م,,,3
31,ألمر,أ,ل,م,,,4
32,ألمص,أ,ل,م,,,4
33,ألر,أ,ل,ر,,,3
34,ألت,أ,ل,ت,,,3
35,ألول,أ,ل,و,,,4
36,ألي,أ,ل,ي,,,3
37,أم,أ,م,,,,2
38,أمد,أ,م,د,,,3
39,أمل,أ,م,ل,,,3
40,أمم,أ,م,م,,,3
41,أممأ,أ,م,م,,,4
42,أمن,أ,م,ن,,,3
43,أمر,أ,م,ر,,,3
44,أمس,أ,م,س,,,3
45,أمت,أ,م,ت,,,3
46,أمو,أ,م,و,,,3
47,أن,أ,ن,,,,2
48,أنأ,أ,ن,أ,,,3
49,أنف,أ,ن,ف,,,3
50,أنم,أ,ن,م,,,3
51,أنن,أ,ن,ن,,,3
52,أننم,أ,ن,ن,,,4
53,أنني,أ,ن,ن,,,4
54,أنس,أ,ن,س,,,3
55,أنت,أ,ن,ت,,,3
56,أنتم,أ,ن,ت,,,4
57,أنث,أ,ن,ث,,,3
58,أنو,أ,ن,و,,,3
59,أني,أ,ن,ي,,,3
60,أرب,أ,ر,ب,,,3
61,أرض,أ,ر,ض,,,3
62,أرك,أ,ر,ك,,,3
63,أرم,أ,ر,م,,,3
64,أصل,أ,ص,ل,,,3
65,أصر,أ,ص,ر,,,3
66,أشر,أ,ش,ر,,,3
67,أسف,أ,س,ف,,,3
68,أسم,أ,س,م,,,3
69,أسن,أ,س,ن,,,3
70,أسر,أ,س,ر,,,3
71,أسس,أ,س,س,,,3
72,أسي,أ,س,ي,,,3
73,أتي,أ,ت,ي,,,3
74,أثل,أ,ث,ل,,,3
75,أثم,أ,ث,م,,,3
76,أثر,أ,ث,ر,,,3
77,أثث,أ,ث,ث,,,3
78,أذ,أ,ذ,,,,2
79,أذأ,أ,ذ,أ,,,3
80,أذن,أ,ذ,ن,,,3
81,أذي,أ,ذ,ي,,,3
82,أو,أ,و,,,,2
83,أوب,أ,و,ب,,,3
84,أود,أ,و,د,,,3
85,أوه,أ,و,ه,,,3
86,أول,أ,و,ل,,,3
87,أولأ,أ,و,ل,,,4
88,أوي,أ,و,ي,,,3
89,أي,أ,ي,,,,2
90,أيأ,أ,ي,أ,,,3
91,أيب,أ,ي,ب,,,3
92,أيد,أ,ي,د,,,3
93,أيك,أ,ي,ك,,,3
94,أيم,أ,ي,م,,,3
95,أين,أ,ي,ن,,,3
96,أيي,أ,ي,ي,,,3
97,أزف,أ,ز,ف,,,3
98,أزر,أ,ز,ر,,,3
99,أزز,أ,ز,ز,,,3
100,عبأ,ع,ب,أ,,,3
101,عبد,ع,ب,د,,,3
102,عبقر,ع,ب,ق,,,4
103,عبر,ع,ب,ر,,,3
104,عبس,ع,ب,س,,,3
105,عبث,ع,ب,ث,,,3
106,عضض,ع,ض,ض,,,3
107,عضد,ع,ض,د,,,3
108,عضه,ع,ض,ه,,,3
109,عضل,ع,ض,ل,,,3
110,عدد,ع,د,د,,,3
111,عدل,ع,د,ل,,,3
112,عدن,ع,د,ن,,,3
113,عدس,ع,د,س,,,3
114,عدو,ع,د,و,,,3
115,عفف,ع,ف,ف,,,3
116,عفر,ع,ف,ر,,,3
117,عفو,ع,ف,و,,,3
118,عهد,ع,ه,د,,,3
119,عهن,ع,ه,ن,,,3
120,عجب,ع,ج,ب,,,3
121,عجف,ع,ج,ف,,,3
122,عجل,ع,ج,ل,,,3
123,عجم,ع,ج,م,,,3
124,عجز,ع,ج,ز,,,3
125,عكف,ع,ك,ف,,,3
126,علم,ع,ل,م,,,3
127,علن,ع,ل,ن,,,3
128,علق,ع,ل,ق,,,3
129,علو,ع,ل,و,,,3
130,علي,ع,ل,ي,,,3
131,عمد,ع,م,د,,,3
132,عمه,ع,م,ه,,,3
133,عمل,ع,م,ل,,,3
134,عمم,ع,م,م,,,3
135,عممأ,ع,م,م,,,4
136,عمق,ع,م,ق,,,3
137,عمر,ع,م,ر,,,3
138,عمي,ع,م,ي,,,3
139,عن,ع,ن,,,,2
140,عنب,ع,ن,ب,,,3
141,عند,ع,ن,د,,,3
142,عنكب,ع,ن,ك,,,4
143,عنق,ع,ن,ق,,,3
144,عنت,ع,ن,ت,,,3
145,عني,ع,ن,ي,,,3
146,عقب,ع,ق,ب,,,3
147,عقد,ع,ق,د,,,3
148,عقل,ع,ق,ل,,,3
149,عقم,ع,ق,م,,,3
150,عقر,ع,ق,ر,,,3
151,عرب,ع,ر,ب,,,3
152,عرض,ع,ر,ض,,,3
153,عرف,ع,ر,ف,,,3
154,عرج,ع,ر,ج,,,3
155,عرجو,ع,ر,ج,,,4
156,عرم,ع,ر,م,,,3
157,عرر,ع,ر,ر,,,3
158,عرش,ع,ر,ش,,,3
159,عرو,ع,ر,و,,,3
160,عري,ع,ر,ي,,,3
161,عصب,ع,ص,ب,,,3
162,عصف,ع,ص,ف,,,3
163,عصم,ع,ص,م,,,3
164,عصر,ع,ص,ر,,,3
165,عصو,ع,ص,و,,,3
166,عصي,ع,ص,ي,,,3
167,عشر,ع,ش,ر,,,3
168,عشي,ع,ش,ي,,,3
169,عسعس,ع,س,ع,,,4
170,عسل,ع,س,ل,,,3
171,عسق,ع,س,ق,,,3
172,عسر,ع,س,ر,,,3
173,عسي,ع,س,ي,,,3
174,عتب,ع,ت,ب,,,3
175,عتد,ع,ت,د,,,3
176,عتل,ع,ت,ل,,,3
177,عتق,ع,ت,ق,,,3
178,عتو,ع,ت,و,,,3
179,عطف,ع,ط,ف,,,3
180,عطل,ع,ط,ل,,,3
181,عطو,ع,ط,و,,,3
